+-------------+----------+-----------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------+
|  Component  |     $USD |      $CAD |    Site   | Name                                                                                                                                       |
|   Storage   |    $71.0 |   * $99.0 |    NCIX   | Kingston SSDNow V300 240GB SV300S37A/240G 2.5IN SATA3 LSI Sandforce Solid State Disk Flash Drive SSD                                       |
|   Storage   |    $43.0 |   * $60.0 |    NCIX   | Kingston SSDNow V300 120GB SV300S37A/120G 2.5IN SATA3 LSI Sandforce SSD                                                                    |
|   Storage   |   $183.0 |  * $254.0 |    NCIX   | Corsair Graphite Series 780T Full Tower Gaming White Case ATX Toolfree SSD Cages Modular Drive Cage                                        |
|   Storage   |   $140.0 |  * $194.0 |    NCIX   | Kingston SSDNow V300 480GB 2.5in SATA3 7MM LSI SandForce Solid State Disk Flash Drive SSD                                                  |
|   Storage   |    $71.0 |   * $99.0 |    NCIX   | SanDisk SSD Z400S SD8SBAT-256G-1122 256GB 2.5INCH 7MM Brown Box                                                                            |
|   Storage   |   $267.0 |  * $371.0 |    NCIX   | Samsung 950 Pro MZ-V5P256BW 256GB M.2 2280 NVMe PCIe 3.0X4 SSD                                                                             |
|   Storage   |    $79.0 |  * $109.0 |    NCIX   | ADATA SX900 2.5" 256GB SSD SATA 3 Sandforce 2281 550MB/SEC Write and 530MB/SEC Read                                                        |
|   Storage   |    $79.0 |  * $109.0 |    NCIX   | Samsung 850 EVO Series MZ-75E250B/AM 250GB 2.5in SATA III Internal SSD                                                                     |
|   Storage   |   $236.0 |  * $328.0 |    NCIX   | Intel 730 Series 240GB SSD SSDSC2BP240G4R5 2.5in SATA 6GB/S 20NM MLC Retail Package                                                        |
|   Storage   |   $251.0 |  * $349.0 |    NCIX   | SanDisk SDSSDHII-960G-G25 Ultra II 960GB SATA 3 SSD Up to 550/500MB/S(R/W)                                                                 |
|   Storage   |   $147.0 |  * $204.0 |    NCIX   | SanDisk SDSSDHII-480G-G25 Ultra II 480GB SATA 3 SSD Up to 550/500MB/S(R/W)                                                                 |
|   Storage   |    $64.0 |   * $89.0 |    NCIX   | Samsung 850 EVO Series MZ-75E120B/AM 120GB 2.5in SATA III Internal SSD                                                                     |
|   Storage   |    $46.0 |   * $64.0 |    NCIX   | SanDisk Z400S SSD SD8SBAT-128G-1122 128GB 2.5INCH 7MM Brown Box                                                                            |
|   Storage   |   $114.0 |  * $159.0 |    NCIX   | SanDisk Extreme Pro 2.5IN SSD 240GB SSD 550MB/R 520MB/W SATA 6G/S                                                                          |
|   Storage   |   $129.0 |  * $179.0 |    NCIX   | Intel 535 Series SSD SSDSC2BW240H6R5 240GB 2.5INCH SATA 6GB S MLC 16NM 7MM Retail Pack                                                     |
|   Storage   |    $78.0 |  * $109.0 | amazon.ca | Samsung 850 EVO 250GB 2.5-Inch SATA III Internal SSD (MZ-75E250B/AM)                                                                       |
|   Storage   |   $142.0 |  * $198.0 | amazon.ca | Samsung 850 EVO 500GB 2.5-Inch SATA III Internal SSD (MZ-75E500B/AM)                                                                       |
|   Storage   |    $60.0 |   * $84.0 | amazon.ca | Sandisk Canada SDSSDA-240G-G25 SSD Plus 240GB                                                                                              |
|   Storage   |    $63.0 |   * $87.0 | amazon.ca | Samsung 850 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-75E120B/AM)                                                                       |
|   Storage   |    $40.0 |   * $55.0 | amazon.ca | Sandisk Canada SDSSDA-120G-G25 SSD Plus 120GB                                                                                              |
|   Storage   |   $337.0 |  * $469.0 | amazon.ca | Samsung 850 EVO 1TB 2.5-Inch SATA III Internal SSD (MZ-75E1T0B/AM)                                                                         |
|    Memory   | * $129.0 |    $180.0 |   MicroC  | Crucial Server Memory 16GB DDR3-1600 (PC3-12800) CL11 ECC Server Module Kit (Two 8GB Memory Modules)                                       |
|    Memory   |  * $79.0 |    $110.0 |   MicroC  | Crucial 16GB DDR3-1600 (PC3-12800) CL9 Laptop Memory Kit (Two 8GB Memory Modules)                                                          |
|    Memory   |  * $99.0 |    $138.0 |   MicroC  | Crucial 16GB 2 x 8GB DDR4-2133 (PC4-17000) C15 Dual Channel Desktop Memory Module Kit                                                      |
|    Memory   | * $109.0 |    $152.0 |   MicroC  | Crucial Ballistix Sport 16GB DDR3-1600 (PC3-12800) CL9 Dual Channel Laptop Memory Kit (Two 8GB Memory Modules)                             |
|    Memory   |  * $91.0 |    $127.0 |   MicroC  | Crucial CT2C8G3S186DM 16GB 2 x 8GB DDR3L-1866 PC3-14900 CL9 SO-DIMM Mac Memory Kit                                                         |
|    Memory   | * $299.0 |    $416.0 |   MicroC  | Crucial 32GB DDR3-1866 (PC3-14900) CL13 Unbuffered Desktop Memory Kit (Two 16GB Memory Modules) - for Mac Pro Systems                      |
|    Memory   | * $109.0 |    $152.0 |   MicroC  | Crucial Ballistix Sport 16GB DDR3-1866 (PC3-14900) CL10 Dual Channel Laptop Memory Kit (Two 8GB Memory Modules)                            |
|    Memory   |  * $89.0 |    $124.0 |   MicroC  | PNY 16GB (2x8GB) DDR3 1600 CAS 11 Low Voltage (1.35V) Laptop Memory Kit                                                                    |
|    Memory   |  * $94.0 |    $131.0 |   MicroC  | Centon Memory Power 16GB DDR3-1333 (PC3-10600) CL9 Dual Channel Laptop Memory Kit (Two 8GB Memory Modules)                                 |
|    Memory   |  * $89.0 |    $124.0 |   MicroC  | Crucial 16GB 4 x 4GB DDR4-2133 (PC4-17000) C15 Quad Channel Desktop Memory Module Kit                                                      |
|    Memory   | * $599.0 |    $834.0 |   MicroC  | Crucial 32GB 32GB DDR4-2133 (PC4-17000) CL15 Dual Channel ECC Server Memory                                                                |
|    Memory   | * $149.0 |    $207.0 |   MicroC  | Crucial 16GB DDR3-1866 (PC3-4900) CL13 Buffered Desktop Memory Module for Mac                                                              |
